bias_pp,conditional_coverage_valid_only,coverage_MC_se,empirical_sd_pp,mean_reported_se_pp,method,planned_replications,population_truth_pp,rmse_pp,rmse_vs_realized_full_cohort_pp,scenario,successful_replications,unconditional_coverage,valid_intervals
-0.3089079065459688,0.9333333333333333,0.02036700308869262,2.335944885295165,2.270991064266874,unadjusted,150,-1.250000000000001,2.3485495548988693,1.5029796138292297,MCAR,150,0.9333333333333333,150
-0.28974519653726016,0.9333333333333333,0.02036700308869262,2.2484995208269045,2.1607864064921727,baseline_standardization,150,-1.250000000000001,2.259645408784494,1.3978701197287726,MCAR,150,0.9333333333333333,150
-0.2674146194393383,0.9333333333333333,0.02036700308869262,2.2680044049532455,2.1880942756696813,crossfit_aipw,150,-1.250000000000001,2.2761946899093006,1.4244683383478194,MCAR,150,0.9333333333333333,150
3.6176490675831934,0.6,0.04,2.3622862939649854,2.295865976292183,unadjusted,150,-1.250000000000001,4.316315404054251,3.7283693691637594,MAR_covariate,150,0.6,150
0.06866675510871878,0.9133333333333333,0.022971802360801027,2.603359888980891,2.3678657089659403,baseline_standardization,150,-1.250000000000001,2.5955759701335515,1.6649362956061247,MAR_covariate,150,0.9133333333333333,150
0.16401225055813295,0.9133333333333333,0.022971802360801027,2.607127809877631,2.4247514620537376,crossfit_aipw,150,-1.250000000000001,2.6035939262085837,1.6909562400289244,MAR_covariate,150,0.9133333333333333,150
5.196359653946391,0.3,0.03741657386773942,2.1856333594865913,2.1194448042414256,unadjusted,150,-1.250000000000001,5.634474262435538,5.387574124002098,MNAR_outcome,150,0.3,150
5.008982593687747,0.30666666666666664,0.037649455261417546,2.1575654392523576,2.127524078962823,baseline_standardization,150,-1.250000000000001,5.451051396231618,5.219168462204879,MNAR_outcome,150,0.30666666666666664,150
5.1180971948797,0.30666666666666664,0.037649455261417546,2.1567113652016716,2.143344280182834,crossfit_aipw,150,-1.250000000000001,5.55115424480413,5.328266360255258,MNAR_outcome,150,0.30666666666666664,150
0.028732510541350325,,0.0,0.2595911122813111,,unadjusted,150,-0.035000000000001696,0.26031491012544933,0.14917401280320255,sparse_MCAR,150,0.0,0
0.029844457702149312,,0.0,0.2575257583836202,,baseline_standardization,150,-0.035000000000001696,0.25839519689496365,0.1484938506014756,sparse_MCAR,150,0.0,0
0.037030108906206505,,0.0,0.2597707759850037,,crossfit_aipw,150,-0.035000000000001696,0.2615381667132941,0.15280812213853617,sparse_MCAR,150,0.0,0
