convention,group,lower_pp,necessarily_above_2pp,retained_mass_share,strictly_positive,upper_pp,weighted
resolved,all,-1.5484187946336139,False,0.5609047143246435,False,1.1386002545580116,False
resolved,all,-2.0131069488541984,False,0.5295794704871614,False,3.570316476625241,True
resolved,Latino_employed_2020,-3.6566112892256872,False,0.4828767123287671,False,1.0152530846206158,False
resolved,Latino_employed_2020,-7.823534312230228,False,0.47857009689096125,False,3.9682412487755814,True
resolved,R_renter_2020,0.10887334400980207,False,0.5353805073431241,True,0.9728682299591476,False
resolved,R_renter_2020,1.3760854279860868,False,0.46225638114760004,True,3.2373628418423643,True
literal,all,-0.2694799212863379,False,0.5609047143246435,False,-0.2694799212863379,False
literal,all,0.6188484297014718,False,0.5295794704871614,True,0.6188484297014718,True
literal,Latino_employed_2020,-1.3941513650053434,False,0.4828767123287671,False,-1.3941513650053434,False
literal,Latino_employed_2020,-2.91293054009532,False,0.47857009689096125,False,-2.91293054009532,True
literal,R_renter_2020,0.5094073894036605,False,0.5353805073431241,True,0.5094073894036605,False
literal,R_renter_2020,2.6301617925026664,True,0.46225638114760004,True,2.6301617925026664,True
