axis,band,n_test,changed_n,target_n_mean,shrink_weight_mean,prob_mean,full_log_sum,event_log_sum,dest_log_sum,binary_brier_sum,multiclass_brier_sum,dest_positive_sum,dest_negative_sum,dest_negative_n
totalcell_band,0-0,30,5,0.0,0.0,0.8117205728294327,-2.1163626406917047e-16,-2.1163626406917047e-16,1.1102230246251565e-16,-6.776263578034403e-21,-9.46644021851406e-17,1.1102230246251565e-16,0.0,0
totalcell_band,1-4,122,38,1.3524590163934427,0.09855350161836256,0.6314047964352494,-0.6442703776050829,-0.9998002299876403,0.3555298523825543,0.24081170432284976,-0.3008473058914286,1.9626771780679653,-1.607147325685411,14
totalcell_band,5-19,207,64,5.946859903381642,0.3201654718035363,0.6033278993706974,0.26189938581817346,0.3209827744546354,-0.059083388636465645,-0.033458622910177746,-0.8072673086321289,6.697474360326796,-6.756557748963262,25
totalcell_band,20-49,562,64,30.697508896797153,0.6422289301877275,0.8196641565596132,7.424691333586527,4.270798183062062,3.1538931505244663,-0.5522907990289072,-1.2583255897518266,10.061048551199928,-6.907155400675462,21
totalcell_band,50+,5254,243,524.4339550818424,0.9231083574447128,0.920211865039872,-24.98064871755166,-3.7700557159406833,-21.21059300161098,0.6570546456698934,-0.7842109616144448,34.31548505822519,-55.52607805983618,82
realized_targetcount_band,0-0,106,72,0.0,0.24023887481892986,0.32438430306500204,-50.53111690226542,-4.822413007601762,-45.70870389466367,0.62895034785592,2.5754168218893114,5.568462357885551e-16,-45.70870389466367,49
realized_targetcount_band,1-4,224,127,2.142857142857143,0.40102956489185054,0.4010796437347305,10.089798689042443,0.07073134740333836,10.0190673416391,0.21775330533287102,-1.703648364659421,21.27678463477525,-11.257717293136151,48
realized_targetcount_band,5-19,306,138,10.980392156862745,0.5673348257184668,0.5181524987427333,-5.870819005161876,-7.317449304732858,1.4466302995709832,-0.14569052880678146,-1.8392684395849126,15.277147646931486,-13.830517347360502,45
realized_targetcount_band,20-49,694,77,36.44380403458213,0.6951976505465437,0.8076857389034524,17.32974604417104,0.8469931780578908,16.48275286611314,-1.0822949995370237,-4.322043447415655,16.48275286611314,0.0,0
realized_targetcount_band,50+,4845,0,566.5411764705882,0.9324817707378875,0.9656142680474639,11.044062798461763,11.044062798461763,0.0,0.6933988032086728,2.138892263880846,0.0,0.0,0
