year,fips,rep_votes,dem_votes,acs_vintage,total_pop,hispanic,edu_total_25plus,hs_or_less
2012,05037,4269,2279,2012,17891,110,12026,8021
2012,05039,1665,1337,2012,8122,192,5511,3858
2012,05041,1896,2443,2012,12922,581,8620,5517
2012,05043,3887,2630,2012,18615,460,11794,6307
2012,05045,26722,13621,2012,113730,4397,68149,29349
2012,05047,4631,1726,2012,18110,406,12188,6877
2012,05049,2949,1452,2012,12301,110,8913,5451
2012,05051,26014,13804,2012,96249,4643,68495,31866
2012,05053,4829,1468,2012,17852,408,12094,6840
2012,05055,9071,4000,2012,42224,940,27845,17012
2012,05057,4284,2468,2012,22548,2678,14618,8248
2012,05059,7097,3830,2012,33011,925,22576,12924
2012,05061,2892,1471,2012,13790,1338,9017,5731
2012,05063,8728,3281,2012,36572,2089,24613,14224
2012,05065,3575,1524,2012,13614,207,10164,6039
2012,05067,3072,2095,2012,17885,442,12603,8635
2012,05069,9520,17470,2012,76836,1236,50184,27257
2012,05071,5064,2799,2012,25554,3121,16487,10381
2012,05073,1713,1173,2012,7618,132,5158,3482
2012,05075,3536,1788,2012,17314,160,11729,7838
2012,05077,1280,2107,2012,10430,186,7099,5046
2012,05079,2199,1425,2012,14167,458,9816,6695
2012,05081,3385,1552,2012,13068,130,9148,4977
2012,05083,5079,2009,2012,22352,527,15145,9485
2012,05085,17880,5625,2012,68274,2261,43984,21465
2012,05087,4263,2099,2012,15674,769,10657,7166
2012,05089,4774,2037,2012,16712,300,12691,7130
2012,05091,10622,4518,2012,43449,1097,28803,16039
2012,05093,6603,6467,2012,46388,1700,29091,17867
2012,05095,1585,1583,2012,8145,143,5630,3496
2012,05097,2369,920,2012,9453,359,6759,3979
2012,05099,1996,1314,2012,9003,238,6187,3613
2012,05101,2508,993,2012,8286,50,5980,3604
2012,05103,5521,4633,2012,25894,414,17805,9776
2012,05105,2581,1187,2012,10413,244,7253,4522
2012,05107,2598,5202,2012,21646,299,13616,7795
2012,05109,2847,851,2012,11261,736,7551,4432
2012,05111,4974,2390,2012,24506,571,16548,11445
2012,05113,5955,1556,2012,20535,1185,14288,7900
2012,05115,14763,5126,2012,61853,4149,38585,20368
2012,05117,2153,880,2012,8659,81,6198,4208
2012,05119,68984,87248,2012,383185,21706,255353,97833
