future_group,n,old_full_log_total,old_full_log_mean,old_full_log_cohort_contribution,new_full_log_total,new_full_log_mean,new_full_log_cohort_contribution,delta_full_log_total,delta_full_log_mean,delta_full_log_cohort_contribution,old_event_log_total,old_event_log_mean,old_event_log_cohort_contribution,new_event_log_total,new_event_log_mean,new_event_log_cohort_contribution,delta_event_log_total,delta_event_log_mean,delta_event_log_cohort_contribution,old_dest_log_total,old_dest_log_mean,old_dest_log_cohort_contribution,new_dest_log_total,new_dest_log_mean,new_dest_log_cohort_contribution,delta_dest_log_total,delta_dest_log_mean,delta_dest_log_cohort_contribution,old_binary_brier_total,old_binary_brier_mean,old_binary_brier_cohort_contribution,new_binary_brier_total,new_binary_brier_mean,new_binary_brier_cohort_contribution,delta_binary_brier_total,delta_binary_brier_mean,delta_binary_brier_cohort_contribution,old_multiclass_brier_total,old_multiclass_brier_mean,old_multiclass_brier_cohort_contribution,new_multiclass_brier_total,new_multiclass_brier_mean,new_multiclass_brier_cohort_contribution,delta_multiclass_brier_total,delta_multiclass_brier_mean,delta_multiclass_brier_cohort_contribution
early_same_stable,5348,-300.1766374780643,-0.05612876542222594,-0.048611601211022565,-225.87901052141214,-0.04223616501896263,-0.03657959684557282,74.29762695665232,0.013892600403263336,0.012032004365449768,-300.1766374780643,-0.05612876542222594,-0.048611601211022565,-225.87901052141214,-0.04223616501896263,-0.03657959684557282,74.29762695665232,0.013892600403263336,0.012032004365449768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.30035924102958,0.0073486086838125625,0.00636443064632058,23.105709865821435,0.004320439391514853,0.0037418153628860622,-16.194649375208165,-0.0030281692922977123,-0.0026226152834345207,58.51514544200704,0.010941500643606402,0.009476136913685351,34.317985533691925,0.006416975604654436,0.005557568507480474,-24.19715990831511,-0.0045245250389519655,-0.003918568406204876
early_same_changed,237,-735.0157451567308,-3.1013322580452773,-0.119030889903924,-813.681242209298,-3.4332541865371224,-0.13177024165332762,-78.6654970525672,-0.33192192849184476,-0.012739351749403596,-540.3563595168645,-2.2799846393116643,-0.08750710275576752,-602.8609254051079,-2.5437169848316787,-0.09762929966074621,-62.504565888243086,-0.263732345520013,-0.010122196904978637,-194.65938563986637,-0.8213476187336134,-0.0315237871481565,-210.82031680419053,-0.8895372017054453,-0.03414094199258146,-16.16093116432411,-0.0681895829718317,-0.0026171548444249575,172.80655723124977,0.729141591693037,0.027984867567813727,185.88703631103797,0.784333486544464,0.030103163775066877,13.080479079788134,0.055191894851426726,0.002118296207253139,379.80634528028276,1.6025584189041466,0.06150710045024822,399.39608542934957,1.6852155503348083,0.06467952800475296,19.589740149066863,0.08265713143066186,0.0031724275545047553
early_diff_return,137,-325.0885991722545,-2.3729094830091566,-0.05264592699145822,-211.03381751868832,-1.5403928286035644,-0.03417551700707503,114.05478165356604,0.8325166544055915,0.018470409984383165,-221.1807379804971,-1.6144579414634825,-0.03581874299279305,-164.56636925990662,-1.2012143741599024,-0.026650424171644798,56.61436872059048,0.41324356730358014,0.009168318821148255,-103.9078611917572,-0.7584515415456731,-0.016827183998665136,-46.467448258781694,-0.339178454443662,-0.007525092835430234,57.440412932975576,0.4192730871020115,0.009302091163234912,79.10231112180806,0.5773891322759712,0.012810090869928431,60.21065538206241,0.43949383490556504,0.009750713422196342,-18.89165573974564,-0.13789529737040615,-0.003059377447732088,190.73895411462172,1.3922551395227862,0.030888899451760602,140.3131244534392,1.024183390171089,0.022722773190840356,-50.4258296611826,-0.3680717493516978,-0.008166126260920259
early_diff_keep,413,-68.95206361577458,-0.16695414919073748,-0.011166326091623413,-112.06580743678862,-0.2713457807186165,-0.01814830889664593,-43.11374382101408,-0.10439163152787914,-0.006981982805022524,-68.95206361577458,-0.16695414919073748,-0.011166326091623413,-112.06580743678862,-0.2713457807186165,-0.01814830889664593,-43.11374382101408,-0.10439163152787914,-0.006981982805022524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.660837501497673,0.03549839588740356,0.0023742246965988132,29.67187078268625,0.0718447234447609,0.004805161260354049,15.011033281188586,0.03634632755735735,0.002430936563755237,21.23635640786943,0.05141974917159668,0.0034390860579545635,49.02104938803557,0.11869503483785852,0.007938631479843817,27.784692980166113,0.06727528566626177,0.004499545421889249
early_diff_third,40,-108.75217659349994,-2.7188044148374986,-0.01761168851716598,-124.6908785179847,-3.1172719629496175,-0.020192854820726268,-15.938701924484732,-0.3984675481121183,-0.0025811663035602804,-66.9725400732071,-1.6743135018301776,-0.010845755477442445,-55.81551797026502,-1.3953879492566255,-0.009038950278585428,11.157022102942085,0.2789255525735521,0.0018068051988570177,-41.779636520292826,-1.0444909130073206,-0.006765933039723534,-68.87536054771965,-1.7218840136929914,-0.011153904542140835,-27.095724027426815,-0.6773931006856704,-0.004387971502417298,22.38123029503727,0.5595307573759317,0.0036244907360384244,19.311509745539293,0.4827877436384823,0.003127369999277618,-3.0697205494979816,-0.07674301373744954,-0.0004971207367608068,55.156118686798735,1.3789029671699684,0.008932164969522063,54.64443645835009,1.3661109114587524,0.008849301450744954,-0.51168222844862,-0.0127920557112155,-8.286351877710445e-05
