subset,n,old_event_log_total,old_event_log_mean,new_event_log_total,new_event_log_mean,delta_event_log_total,delta_event_log_mean,old_dest_log_total,old_dest_log_mean,new_dest_log_total,new_dest_log_mean,delta_dest_log_total,delta_dest_log_mean,old_full_log_total,old_full_log_mean,new_full_log_total,new_full_log_mean,delta_full_log_total,delta_full_log_mean,old_binary_brier_total,old_binary_brier_mean,new_binary_brier_total,new_binary_brier_mean,delta_binary_brier_total,delta_binary_brier_mean,old_multiclass_brier_total,old_multiclass_brier_mean,new_multiclass_brier_total,new_multiclass_brier_mean,delta_multiclass_brier_total,delta_multiclass_brier_mean
all6175,6175,-1197.6383386644095,-0.1939495285286493,-1161.1876305934816,-0.1880465798531954,36.450708070927796,0.005902948675453894,-340.34688335191646,-0.055116904186545176,-326.1631256106917,-0.052819939370152495,14.183757741224639,0.0022969648163926543,-1537.985222016324,-0.24906643271519419,-1487.3507562041746,-0.24086651922334812,50.63446581215236,0.008199913491846535,328.25129539062266,0.05315810451670003,318.1867820871473,0.05152822381978094,-10.064513303475055,-0.0016298806969190372,705.4529199315801,0.11424338784317087,677.6926812628673,0.10974780263366271,-27.760238668713356,-0.004495585209508236
changed414,414,-828.5096375705691,-2.001231008624563,-823.2428126352795,-1.9885092092639602,5.266824935289477,0.0127217993606026,-340.34688335191646,-0.8220939211398949,-326.1631256106917,-0.7878336367408012,14.183757741224639,0.03426028439909333,-1168.8565209224842,-2.8233249297644543,-1149.4059382459716,-2.7763428460047623,19.450582676514124,0.04698208375969595,274.29009864809535,0.6625364701644815,265.4092014386398,0.6410850276295648,-8.880897209455481,-0.021451442534916623,625.7014180817031,1.5113560823229544,594.3536463411388,1.4356368269109632,-31.34777174056435,-0.07571925541199119
