group,method,direction,reference_pp,estimate_pp,error_pp
all,unadjusted,0_to_1,1.7076937051503316,1.6032388663967612,-0.10445483875357042
all,unadjusted,0_to_2,0.6358434008538468,0.4696356275303644,-0.1662077733234824
all,unadjusted,0_to_3,0.20891997456626396,0.16194331983805668,-0.04697665472820728
all,unadjusted,1_to_0,1.9620310654918705,1.6680161943319838,-0.29401487115988667
all,unadjusted,1_to_2,1.435189390498683,1.3927125506072875,-0.0424768398913955
all,unadjusted,1_to_3,0.47234081206285766,0.4048582995951417,-0.06748251246771597
all,unadjusted,2_to_0,0.7175946952493415,0.680161943319838,-0.03743275192950346
all,unadjusted,2_to_1,2.1437006085929697,2.137651821862348,-0.0060487867306218135
all,unadjusted,2_to_3,0.19075302025615407,0.22672064777327933,0.03596762751712526
all,unadjusted,3_to_0,0.2906712689617586,0.3076923076923077,0.01702103873054911
all,unadjusted,3_to_1,0.5450086293032973,0.38866396761133604,-0.15634466169196126
all,unadjusted,3_to_2,0.1816695431010991,0.11336032388663966,-0.06830921921445943
all,baseline_standardization,0_to_1,1.7076937051503316,1.6456763719345582,-0.06201733321577341
all,baseline_standardization,0_to_2,0.6358434008538468,0.47695729463565883,-0.158886106218188
all,baseline_standardization,0_to_3,0.20891997456626396,0.15681766032245978,-0.05210231424380418
all,baseline_standardization,1_to_0,1.9620310654918705,1.7823954244208913,-0.17963564107097918
all,baseline_standardization,1_to_2,1.435189390498683,1.473756414302052,0.03856702380336907
all,baseline_standardization,1_to_3,0.47234081206285766,0.4337930669517171,-0.03854774511114056
all,baseline_standardization,2_to_0,0.7175946952493415,0.6494971973519253,-0.06809749789741615
all,baseline_standardization,2_to_1,2.1437006085929697,2.04646624123871,-0.09723436735425972
all,baseline_standardization,2_to_3,0.19075302025615407,0.218410926148639,0.02765790589248493
all,baseline_standardization,3_to_0,0.2906712689617586,0.4219515988296077,0.1312803298678491
all,baseline_standardization,3_to_1,0.5450086293032973,0.5137325659171421,-0.031276063386155184
all,baseline_standardization,3_to_2,0.1816695431010991,0.14069067457204437,-0.04097886852905472
all,crossfit_aipw,0_to_1,1.7076937051503316,1.7067004082623707,-0.0009932968879609039
all,crossfit_aipw,0_to_2,0.6358434008538468,0.5027149534643451,-0.1331284473895017
all,crossfit_aipw,0_to_3,0.20891997456626396,0.1736580232162739,-0.03526195134999005
all,crossfit_aipw,1_to_0,1.9620310654918705,1.7655791646144114,-0.196451900877459
all,crossfit_aipw,1_to_2,1.435189390498683,1.4176407532085509,-0.01754863729013212
all,crossfit_aipw,1_to_3,0.47234081206285766,0.43428280058813656,-0.0380580114747211
all,crossfit_aipw,2_to_0,0.7175946952493415,0.65822245610948,-0.05937223913986145
all,crossfit_aipw,2_to_1,2.1437006085929697,2.0785795182872913,-0.06512109030567848
all,crossfit_aipw,2_to_3,0.19075302025615407,0.2273192723680882,0.03656625211193412
all,crossfit_aipw,3_to_0,0.2906712689617586,0.41440719322509134,0.12373592426333274
all,crossfit_aipw,3_to_1,0.5450086293032973,0.5506677785067341,0.005659149203436797
all,crossfit_aipw,3_to_2,0.1816695431010991,0.11004685143271371,-0.07162269166838538
Latino_employed_2020,unadjusted,0_to_1,1.8835616438356164,1.773049645390071,-0.11051199844554538
