weighted,family,epsilon,latent_R_change_pp,latent_any_change_pp,projection_max_error,retest_disagreement_2022_pp
False,late_only,0,-0.7993459896448396,10.49141611408847,0.0,0.0
False,late_only,0.008758568164508759,-0.714850982643439,9.92142094337163,5.551115123125783e-17,1.3080317859543877
False,late_only,0.017517136329017517,-0.6288494755172125,9.341263068060602,5.551115123125783e-17,2.6045566944649234
False,invariant,0,-0.7993459896448396,10.49141611408847,0.0,0.0
False,invariant,0.008582477440301217,-0.8062657472313384,9.369709393283998,5.551115123125783e-17,1.2818471971191867
False,invariant,0.017164954880602434,-0.8133063565592846,8.218489086320858,5.551115123125783e-17,2.5526455563863815
True,late_only,0,-0.5188388525465826,12.560175711770437,0.0,0.0
True,late_only,0.018169989665389224,-0.29721879601971035,11.404648838397314,3.469446951953614e-18,2.700737310475357
True,late_only,0.03633997933077845,-0.06724136438053252,10.20554661501084,5.551115123125783e-17,5.351952342284661
True,invariant,0,-0.5188388525465826,12.560175711770437,0.0,0.0
True,invariant,0.00920100064762025,-0.5236570211371971,11.39510300450921,1.1102230246251565e-16,1.3738007161742243
True,invariant,0.0184020012952405,-0.528565515853946,10.197114586881572,1.1102230246251565e-16,2.7349026704108224
