R_change_pp,any_change_pp,cohort,denominator,group,n,not_sure_change_pp,weighted
-0.7993459896448396,10.49141611408847,full,11009.0,all,11009,-0.14533563448087922,False
-0.5188388525465826,12.560175711770437,full,11009.757599999999,all,11009,0.06937573266826494,True
-1.0688259109311704,9.55465587044534,retained,6175.0,all,6175,-0.016194331983805828,False
0.10000957715489145,10.860401030326239,retained,5830.5416,all,6175,0.3888884010363636,True
-0.4551096400496446,11.68804302854779,omitted,4834.0,all,4834,-0.3103020273065787,False
-1.2155121547353875,14.473709920574862,omitted,5179.216,all,4834,-0.2903180713065452,True
0.6849315068493123,14.04109589041096,full,584.0,Latino_employed_2020,584,-0.8561643835616438,False
3.3343403709056805,16.94637083963757,full,487.5687,Latino_employed_2020,584,-5.7310282632991,True
-0.7092198581560294,10.63829787234043,retained,282.0,Latino_employed_2020,282,-0.7092198581560284,False
0.42140983081035976,11.691090694184092,retained,233.3358,Latino_employed_2020,282,-3.760460246563108,True
1.9867549668874163,17.218543046357617,omitted,302.0,Latino_employed_2020,302,-0.9933774834437081,False
6.007837695278617,21.76968441141961,omitted,254.2329,Latino_employed_2020,302,-7.539622133878031,True
-11.48197596795728,11.48197596795728,full,749.0,R_renter_2020,749,0.9345794392523363,False
-11.91824854379162,11.91824854379162,full,1005.9515,R_renter_2020,749,1.7760398985438166,True
-10.97256857855362,10.97256857855362,retained,401.0,R_renter_2020,401,0.997506234413965,False
-9.28808675128895,9.28808675128895,retained,465.0075,R_renter_2020,401,1.129164583366935,True
-12.06896551724138,12.06896551724138,omitted,348.0,R_renter_2020,348,0.8620689655172413,False
-14.179194149486818,14.179194149486829,omitted,540.9440000000001,R_renter_2020,348,2.3321083143541657,True
