bias_MCSE_pp,bias_pp,coverage_MCSE,coverage_given_available,empirical_sd_pp,group,interval_availability,method,n,planned_replications,rmse_pp,scenario,successful_replications,truth_pp,unconditional_coverage,valid_intervals
0.34030050064219336,0.6933431501179186,0.022771001702132438,0.9333333333333333,3.7278052106406117,all,1.0,unadjusted,600,120,3.776433765016594,response_correct_outcome_wrong,120,15.73009423083537,0.9333333333333333,120
0.3136165537144834,-2.1903359432881135,0.022771001702132438,0.9333333333333333,3.435497217529063,all,1.0,baseline_standardization,600,120,4.062247817815405,response_correct_outcome_wrong,120,15.73009423083537,0.9333333333333333,120
0.3154083371387808,-0.2889665288438916,0.01638653467083625,0.9666666666666667,3.455125221522094,all,1.0,crossfit_aipw,600,120,3.4528118298067643,response_correct_outcome_wrong,120,15.73009423083537,0.9666666666666667,120
0.4556442560632402,5.319585791078527,0.04541475531146238,0.9166666666666666,4.9913327448699345,z1,0.6,unadjusted,600,120,7.280369761940117,response_correct_outcome_wrong,120,30.132519262186268,0.55,72
0.3498660887028987,-16.454247020337455,0.0,,3.8325909777736196,z1,0.0,baseline_standardization,600,120,16.891080259390503,response_correct_outcome_wrong,120,30.132519262186268,0.0,0
0.4647782012145677,0.08401561061611318,0.04486992517472238,0.9861111111111112,5.091390100837875,z1,0.6,crossfit_aipw,600,120,5.070827645011498,response_correct_outcome_wrong,120,30.132519262186268,0.5916666666666667,72
0.3690893606505719,0.6560742824008301,0.021395201088786935,0.9416666666666667,4.043171371269557,all,1.0,unadjusted,600,120,4.079392264214863,outcome_correct_response_wrong,120,15.73009423083537,0.9416666666666667,120
0.33168671248092496,-2.567014923440203,0.030190368221227996,0.875,3.6334458890106585,all,1.0,baseline_standardization,600,120,4.436381247176212,outcome_correct_response_wrong,120,15.73009423083537,0.875,120
0.32460199908608756,-0.6591655929294173,0.022771001702132438,0.9333333333333333,3.5558367422144297,all,1.0,crossfit_aipw,600,120,3.6018200619094554,outcome_correct_response_wrong,120,15.73009423083537,0.9333333333333333,120
0.5061246891475207,5.3421387193452325,0.04561818188528033,0.8985507246376812,5.5443181831277455,z1,0.575,unadjusted,600,120,7.68256129240267,outcome_correct_response_wrong,120,30.132519262186268,0.5166666666666667,69
0.3875122131999412,-16.855186187548973,0.0,,4.24498360956718,z1,0.0,baseline_standardization,600,120,17.377198322717522,outcome_correct_response_wrong,120,30.132519262186268,0.0,0
0.4666606286699575,-0.0030897903438038554,0.04563720663701526,0.8840579710144928,5.112011060441556,z1,0.575,crossfit_aipw,600,120,5.090667391072661,outcome_correct_response_wrong,120,30.132519262186268,0.5083333333333333,69
0.2902136614834964,8.793626295086678,0.03651483716701108,0.2,3.179131377813584,all,1.0,unadjusted,600,120,9.346149782970905,MNAR_negative_control,120,15.73009423083537,0.2,120
