after,before,cohort,group,measure,n,positive_n,w,w2,weight_missing_n,weight_zero_n
R,unknown,omitted,all,pid,13,13,16.0848,58.57709138,0,0
unknown,unknown,omitted,all,pid,39,39,83.8799,514.98354027,0,0
D,D,retained,all,house,2329,2329,1778.9797,4809.55519621,0,0
R,D,retained,all,house,91,91,91.6644,170.30573608,0,0
missing_item,D,retained,all,house,169,169,16.2428,30.38578246,0,0
not_post,D,retained,all,house,210,0,0.0,0.0,210,0
not_race,D,retained,all,house,65,65,1.4114,0.1959985,0,0
not_vote,D,retained,all,house,5,5,0.1449,0.01233941,0,0
other,D,retained,all,house,76,76,15.2151,5.98182551,0,0
unknown,D,retained,all,house,14,14,0.2828,0.009119500000000001,0,0
D,R,retained,all,house,95,95,73.7654,298.4868392,0,0
R,R,retained,all,house,1956,1956,1890.4985,3816.62055909,0,0
missing_item,R,retained,all,house,123,123,6.5444,11.289582380000002,0,0
not_post,R,retained,all,house,133,0,0.0,0.0,133,0
not_race,R,retained,all,house,19,19,0.1974,0.0036972199999999998,0,0
not_vote,R,retained,all,house,3,3,0.0298,0.00040982,0,0
other,R,retained,all,house,39,39,11.503,11.94131622,0,0
unknown,R,retained,all,house,11,11,0.1348,0.0035097799999999997,0,0
unknown_party,R,retained,all,house,3,3,0.5099,0.09404293,0,0
D,missing_item,retained,all,house,49,49,179.6861,1230.07150371,0,0
R,missing_item,retained,all,house,40,40,189.0572,1539.15358646,0,0
missing_item,missing_item,retained,all,house,336,336,741.5135,3938.91711667,0,0
not_post,missing_item,retained,all,house,40,0,0.0,0.0,40,0
not_race,missing_item,retained,all,house,5,5,0.3544,0.06082072,0,0
other,missing_item,retained,all,house,7,7,19.1484,98.40874840000001,0,0
unknown,missing_item,retained,all,house,3,3,2.2468,4.9211034399999996,0,0
D,not_post,retained,all,house,23,23,37.4521,197.75396819,0,0
R,not_post,retained,all,house,9,9,22.3139,162.89080163,0,0
missing_item,not_post,retained,all,house,19,19,31.6663,174.74239403,0,0
not_post,not_post,retained,all,house,10,0,0.0,0.0,10,0
other,not_post,retained,all,house,1,1,0.0924,0.008537759999999998,0,0
D,not_race,retained,all,house,35,35,23.4212,29.07533416,0,0
R,not_race,retained,all,house,32,32,21.477999999999998,19.26581354,0,0
missing_item,not_race,retained,all,house,17,17,7.6964,32.960502240000004,0,0
not_post,not_race,retained,all,house,5,0,0.0,0.0,5,0
not_race,not_race,retained,all,house,8,8,0.081,0.0012692799999999998,0,0
not_vote,not_race,retained,all,house,1,1,0.0324,0.0010497599999999998,0,0
other,not_race,retained,all,house,5,5,0.7746000000000001,0.17717024,0,0
unknown,not_race,retained,all,house,1,1,0.0005,2.5e-07,0,0
D,not_vote,retained,all,house,7,7,5.0339,7.726971249999999,0,0
R,not_vote,retained,all,house,5,5,4.0701,8.97676915,0,0
missing_item,not_vote,retained,all,house,3,3,0.021500000000000002,0.00026681000000000003,0,0
not_post,not_vote,retained,all,house,4,0,0.0,0.0,4,0
not_vote,not_vote,retained,all,house,1,1,0.0114,0.00012996,0,0
D,other,retained,all,house,36,36,24.5347,23.93616335,0,0
R,other,retained,all,house,30,30,22.032899999999998,21.945775129999998,0,0
missing_item,other,retained,all,house,5,5,0.891,0.73059856,0,0
not_post,other,retained,all,house,7,0,0.0,0.0,7,0
not_race,other,retained,all,house,2,2,0.0172,0.00016714,0,0
other,other,retained,all,house,16,16,3.2132,1.16849142,0,0
D,unknown,retained,all,house,17,17,51.5527,499.79438699,0,0
R,unknown,retained,all,house,25,25,25.1063,41.05592895,0,0
missing_item,unknown,retained,all,house,15,15,3.4225,5.388934709999999,0,0
not_post,unknown,retained,all,house,5,0,0.0,0.0,5,0
not_race,unknown,retained,all,house,3,3,0.34769999999999995,0.10359368999999999,0,0
unknown,unknown,retained,all,house,7,7,0.1492,0.0074716,0,0
D,D,retained,all,pid,2774,2774,2172.3917,6486.29041517,0,0
I,D,retained,all,pid,99,99,86.5558,319.23603992,0,0
R,D,retained,all,pid,29,29,43.4732,244.04518256,0,0
unknown,D,retained,all,pid,10,10,8.5358,11.88475846,0,0
D,I,retained,all,pid,103,103,119.1081,523.65731659,0,0
I,I,retained,all,pid,681,681,807.9709,3501.94781219,0,0
R,I,retained,all,pid,86,86,121.4972,631.280248,0,0
unknown,I,retained,all,pid,25,25,37.9926,194.47725208,0,0
D,R,retained,all,pid,42,42,28.1003,50.88839906999999,0,0
I,R,retained,all,pid,132,132,105.7197,229.75059341000002,0,0
R,R,retained,all,pid,2110,2110,2153.7359,5266.22495945,0,0
unknown,R,retained,all,pid,14,14,29.1917,254.20622819000002,0,0
D,unknown,retained,all,pid,19,19,13.7331,34.44023446999999,0,0
I,unknown,retained,all,pid,24,24,35.4403,113.42830495,0,0
R,unknown,retained,all,pid,7,7,3.8724,4.05623334,0,0
unknown,unknown,retained,all,pid,20,20,63.2229,466.00344589,0,0
