PID4_path,contribution_to_cohort_mean,logscore_difference_sum,n,paired_mean_difference
0-0-0,0.002733937277297649,16.88206268731298,2715,0.006218070971385997
0-0-1,-0.0012313410029636972,-7.60353069330083,39,-0.19496232546925205
0-0-2,-0.0010704824112406656,-6.61022888941111,17,-0.3888369934947712
0-0-3,-0.0016887128364185613,-10.427801764884617,3,-3.4759339216282057
0-1-0,0.006854866556023307,42.32880098344392,38,1.1139158153537874
0-1-1,-0.0025332527309757267,-15.642835613775112,55,-0.2844151929777293
0-1-2,-0.0006100364961375931,-3.766975363649638,4,-0.9417438409124095
0-1-3,-0.0005212754372256196,-3.218875824868201,2,-1.6094379124341005
0-2-0,0.0005037141629934522,3.1104349564845677,3,1.0368116521615225
0-2-1,-5.4489431031775376e-05,-0.33647223662121295,1,-0.33647223662121295
0-2-2,-0.00012752899571846408,-0.7874915485615157,25,-0.03149966194246063
0-2-3,0.0,0.0,0,
0-3-0,0.0007269329675324233,4.488811074512714,7,0.6412587249303877
0-3-1,-6.0172235859511425e-05,-0.37156355643248307,1,-0.37156355643248307
0-3-2,-4.859993400005475e-05,-0.30010459245033805,1,-0.30010459245033805
0-3-3,-4.859993400005478e-05,-0.30010459245033827,1,-0.30010459245033827
1-0-0,-0.0004438769676877744,-2.740940275472007,93,-0.029472476080344163
1-0-1,0.00017046972545309573,1.0526505546728662,8,0.13158131933410827
1-0-2,-0.000234318863633413,-1.4469189829363254,1,-1.4469189829363254
1-0-3,-0.0002540268692977888,-1.5686159179138457,1,-1.5686159179138457
1-1-0,-0.002353990121381001,-14.535888999527682,54,-0.269183129620883
1-1-1,0.0067558215314173975,41.71719795650243,575,0.07255164862000422
1-1-2,-0.002991571174501263,-18.4729520025453,45,-0.41051004450100664
1-1-3,-6.149599574774678e-05,-0.3797377737423364,7,-0.05424825339176235
1-2-0,-8.109721261740712e-05,-0.5007752879124889,1,-0.5007752879124889
1-2-1,0.0015892095510351685,9.813368977642165,15,0.6542245985094777
1-2-2,-0.000941447871683145,-5.813440607643421,70,-0.08304915153776316
1-2-3,0.0,0.0,0,
1-3-0,-0.00023249871842925243,-1.4356795863006337,2,-0.7178397931503169
1-3-1,0.0004359538795557423,2.6920152062567086,14,0.19228680044690777
1-3-2,-9.962520471096898e-05,-0.6151856390902335,1,-0.6151856390902335
1-3-3,3.334786628895615e-05,0.20592307433430423,8,0.02574038429178803
2-0-0,-0.00035042859462649535,-2.1638965718186087,34,-0.06364401681819437
2-0-1,5.809764742558444e-05,0.3587529728529839,2,0.17937648642649195
2-0-2,0.0013012450965276996,8.035188471058545,6,1.3391980785097575
2-0-3,0.0,0.0,0,
2-1-0,-0.0007569177920330563,-4.673967365804122,5,-0.9347934731608245
2-1-1,-0.0023600560780225187,-14.573346281789053,85,-0.17145113272693005
2-1-2,0.006719382278172083,41.49218556771261,41,1.012004526041771
2-1-3,-0.0003031258586075452,-1.8718021769015918,1,-1.8718021769015918
2-2-0,-0.0010620342865167035,-6.558061719240644,12,-0.5465051432700537
2-2-1,-0.0015863894837535488,-9.795955062178164,47,-0.20842457579102477
2-2-2,0.0023392483191441824,14.444858370715325,2050,0.007046272375958695
2-2-3,-0.0005038527310426338,-3.111290614188264,1,-3.111290614188264
2-3-0,0.0,0.0,0,
2-3-1,5.2567140939851586e-05,0.3246020953035835,6,0.05410034921726392
2-3-2,0.00016863576709019373,1.0413258617819463,5,0.20826517235638925
2-3-3,-9.063967877435852e-05,-0.5597000164316639,3,-0.18656667214388797
3-0-0,-0.00012682755181706753,-0.7831601324703921,13,-0.06024308711310708
3-0-1,0.0002943148918393151,1.8173944571077705,4,0.4543486142769426
3-0-2,0.00026295654681662264,1.6237566765926448,2,0.8118783382963224
3-0-3,0.0,0.0,0,
3-1-0,-9.518812387078852e-05,-0.5877866649021191,1,-0.5877866649021191
3-1-1,3.4953608956810307e-06,0.021583853530830366,19,0.0011359922910963351
3-1-2,0.00010226964687312042,0.6315150694415186,4,0.15787876736037965
3-1-3,0.0,0.0,0,
3-2-0,0.0,0.0,0,
3-2-1,0.0,0.0,0,
3-2-2,3.832371098450761e-06,0.02366489153293345,7,0.0033806987904190645
3-2-3,0.0,0.0,0,
3-3-0,-8.938427266456104e-05,-0.5519478837036644,3,-0.18398262790122147
3-3-1,-0.00011215832844245449,-0.6925776781321564,6,-0.11542961302202608
3-3-2,1.206089526924312e-05,0.07447602828757627,3,0.02482534276252542
3-3-3,0.00020299723759054802,1.253507942121634,8,0.15668849276520425
