model,delta,zero_loglik,fixed_reference_loglik,best_attained_same_delta_loglik,loss_vs_frozen,loss_vs_best_same_delta,original_rule_unchanged
hmm3,0,-10403.207544260878,-10303.05290322578,-10303.052866185993,100.1546410350984,100.15467807488494,True
hmm3,0.01,-10369.198642078465,-10303.05290322578,-10296.111451632662,66.1457388526851,73.08719044580357,True
hmm3,0.025,-10340.281108030787,-10303.05290322578,-10295.103988742598,37.22820480500741,45.177119288189715,True
hmm3,0.05,-10324.263596234854,-10303.05290322578,-10295.103981284046,21.21069300907402,29.159614950807736,True
hmm3,0.075,-10312.724631562156,-10303.05290322578,-10295.103979421358,9.671728336375963,17.620652140798484,True
hmm3,0.1,-10303.76158555001,-10303.05290322578,-10295.103978951172,0.7086823242298124,8.657606598837447,True
hmm3,0.15,-10295.13396702939,-10303.05290322578,-10295.103978831477,-7.9189361963908595,0.02998819791173446,True
hmm3,0.2,-10295.103983862167,-10303.05290322578,-10295.103978800798,-7.948919363612731,5.061368938186206e-06,True
hmm4,0,-10334.507325952538,-10217.104231913938,-10217.104172992262,117.4030940386001,117.4031529602762,True
hmm4,0.01,-10300.699294043217,-10217.104231913938,-10215.513673425296,83.59506212927954,85.18562061792181,True
hmm4,0.025,-10271.84986256034,-10217.104231913938,-10215.448267120486,54.74563064640279,56.401595439854646,True
hmm4,0.05,-10255.789330048427,-10217.104231913938,-10215.38538882473,38.685098134488726,40.403941223696165,True
hmm4,0.075,-10243.976044810926,-10217.104231913938,-10215.376313718647,26.87181289698856,28.5997310922794,True
hmm4,0.1,-10234.203427333232,-10217.104231913938,-10215.37627869083,17.09919541929412,18.82714864240188,True
hmm4,0.15,-10222.048913130993,-10217.104231913938,-10215.376251286287,4.944681217055404,6.672661844706454,True
hmm4,0.2,-10220.258727786631,-10217.104231913938,-10215.376229341035,3.1544958726935874,4.882498445596866,True
