model,PID4_class,bin_lower,bin_upper,mean_predicted,n,observed_n,observed_rate,predicted_sum
raw8_plus_PID20_4_shrink20,2,0.6,0.7,,0,0,,0.0
raw8_plus_PID20_4_shrink20,2,0.7,0.8,,0,0,,0.0
raw8_plus_PID20_4_shrink20,2,0.8,0.9,0.8472463875825104,79,67,0.8481012658227848,66.93246461901832
raw8_plus_PID20_4_shrink20,2,0.9,1.0,0.9708484286131818,2153,2085,0.9684161634928008,2090.2366668041805
raw8_plus_PID20_4_shrink20,3,0.0,0.1,0.002539485518047813,6106,15,0.002456600065509335,15.506098573199948
raw8_plus_PID20_4_shrink20,3,0.1,0.2,0.19076751946607343,3,2,0.6666666666666666,0.5723025583982203
raw8_plus_PID20_4_shrink20,3,0.2,0.3,0.26536925619007357,32,10,0.3125,8.491816198082354
raw8_plus_PID20_4_shrink20,3,0.3,0.4,0.3482095426978809,31,8,0.25806451612903225,10.794495823634309
raw8_plus_PID20_4_shrink20,3,0.4,0.5,0.4096449390567038,3,0,0.0,1.2289348171701113
raw8_plus_PID20_4_shrink20,3,0.5,0.6,,0,0,,0.0
raw8_plus_PID20_4_shrink20,3,0.6,0.7,,0,0,,0.0
raw8_plus_PID20_4_shrink20,3,0.7,0.8,,0,0,,0.0
raw8_plus_PID20_4_shrink20,3,0.8,0.9,,0,0,,0.0
raw8_plus_PID20_4_shrink20,3,0.9,1.0,,0,0,,0.0
