policy,statistic,observed,null_mean,null_sd,hits,B,p_plus_one,MC_se,MC_Wilson_lower,MC_Wilson_upper,Holm_primary_six
conditional_legalization,R1_MI,0.007796739729260842,0.0036414647444442593,0.0007293855082371585,3,99999,4e-05,1.7320421467735587e-05,1.0202860573635697e-05,8.820893130276469e-05,0.00024000000000000003
conditional_legalization,R1_TV,0.026349138810749136,0.012304325545291877,0.0018148188462129037,0,99999,1e-05,0.0,0.0,3.841349670325084e-05,辅助不裁决
drug_price_negotiation,R1_MI,0.0048937776885876385,0.0033659214931368495,0.0006773898733579255,2067,99999,0.02068,0.0004499239012152803,0.019806609518721294,0.021570629352281986,0.07315
drug_price_negotiation,R1_TV,0.013920199260112969,0.00910075107082435,0.0014767940906103918,243,99999,0.00244,0.00015569661279483466,0.002143385809635938,0.002754889596092425,辅助不裁决
medicare_single_payer,R1_MI,0.00517809624919175,0.0034840560037275245,0.000695486551267962,1462,99999,0.01463,0.00037955950247524844,0.013894649050708011,0.015382933627043445,0.07315
medicare_single_payer,R1_TV,0.01628848984855411,0.010429203287339792,0.0015516806004406978,60,99999,0.00061,7.743719967688567e-05,0.0004662108985568369,0.0007721685016094046,辅助不裁决
conditional_legalization,R2_eq_average,-0.002229675297903676,-2.3863595589861255e-05,0.0215144978724373,269723,299999,0.89908,0.0005499567393720497,0.8979966528727711,0.9001524541011615,0.89908
drug_price_negotiation,R2_eq_average,-0.03373089485810233,-7.623804892890874e-06,0.021743064359427862,34568,299999,0.11523,0.0005829525920245487,0.11408940828223504,0.11637454706770467,0.23046
medicare_single_payer,R2_eq_average,0.046148336058296324,-1.6860969227128654e-05,0.0188287828250042,4999,299999,0.016666666666666666,0.0002337076162524063,0.016211480490894468,0.017127675265713845,0.07315
