gross01,loglik,twice_loglik_loss,converged,constraint_error
0.0,-10398.838345900245,191.57088534893046,True,0.0
0.025,-10325.552033527829,44.998260604097595,True,9.020562075079397e-17
0.05,-10303.069981676634,0.034156901707319776,True,4.163336342344337e-17
0.07500000000000001,-10319.298286119569,32.4907657875774,True,5.551115123125783e-17
0.1,-10363.832226946988,121.55864744241626,True,2.7755575615628914e-17
0.125,-10428.70469887264,251.30359129371936,True,1.1102230246251565e-16
0.15000000000000002,-10508.493016837589,410.8802272236171,True,0.0
0.17500000000000002,-10601.487445674302,596.8690848970436,True,2.7755575615628914e-17
0.2,-10707.035281262419,807.9647560732774,True,5.551115123125783e-17
0.225,-10825.247841830816,1044.3898772100729,True,1.3877787807814457e-16
0.25,-10955.067911696347,1304.0300169411348,True,0.0
0.275,-11095.691126995973,1585.2764475403856,True,1.1102230246251565e-16
0.30000000000000004,-11246.433866041021,1886.7619256304824,True,0.0
0.4,-11926.199787294716,3246.2937681378717,True,0.0
0.5,-12480.353242498983,4354.600678546405,True,0.0
