y20,y22,y24,observed_n,observed_markov,hmm3,static3,hmm4,static4
D,D,D,2715,2695.633083730429,2714.0841525295127,2713.657773980919,2715.1693193803853,2715.238064597738
D,D,I,39,50.04152484683459,37.93512515722517,39.34240512617271,39.01368603368367,39.10577688828176
D,D,R,17,24.548672566371682,17.733741421467467,17.856318948671394,16.926034876488426,16.945248829494375
D,D,not_sure,3,3.7767188563648744,6.761825087397466,3.103375533938686,4.858941915730033,2.9782857107752094
D,I,D,38,10.365384615384617,38.00612408380613,37.78249148576196,38.07311171433278,37.880671223297455
D,I,I,55,77.63461538461539,51.90821531778925,52.46510430304971,54.68645055779617,54.793066955597496
D,I,R,4,9.942307692307692,5.005566074420186,4.947887717260699,4.833124863947193,4.843186344708798
D,I,not_sure,2,1.0576923076923077,3.0372270687244547,2.0680160898614397,0.7659588491419247,0.75314294747709
D,R,D,3,0.20788530465949823,2.9353628092288764,2.9331422989690297,2.932719453964085,2.934056375005759
D,R,I,1,0.8185483870967742,1.61160072104821,1.6514042929682728,1.694027029226517,1.6999585127875925
D,R,R,25,27.960573476702514,24.765352236611793,24.78623773265292,24.699110755970633,24.745538499107255
D,R,not_sure,0,0.01299283154121864,0.11226140894928614,0.05566392341324682,0.041245917536383216,0.02872437415964402
D,not_sure,D,7,1.7391304347826086,6.756866632299716,7.337216447284353,4.973162296433204,6.903702201087521
D,not_sure,I,1,3.91304347826087,3.035038350871309,3.4874891275768576,2.0869572385317343,1.7428576689191442
D,not_sure,R,1,1.4492753623188408,0.33142881622627524,0.385229636853991,0.647973807892341,0.47575924872339814
D,not_sure,not_sure,1,2.8985507246376816,0.18526128000736908,0.14024335464593093,1.2748489148194522,0.9319596228389444
I,D,D,93,100.09019741320627,95.00108475729131,92.4838096599893,92.77387421326414,92.77556160206615
I,D,I,8,1.8580667120490129,11.37778339241475,11.208771078510363,8.051933153700588,7.990756861730828
I,D,R,1,0.9115044247787609,1.6649919303800254,1.6165425362919064,1.6280085183027784,1.6218345137099162
I,D,not_sure,1,0.14023144996596323,0.8123484571948331,0.49057299715254193,1.2385762331783987,1.3943238485064124
I,I,D,54,71.30128205128206,50.018612084714675,49.288529572218266,50.293173694455724,50.27929743161225
I,I,I,575,534.0320512820514,542.2976975026945,544.3636606190906,577.8970236446626,577.6807038432788
I,I,R,45,68.39102564102564,47.255615528645585,46.40416045507168,46.04336254650536,46.06652762830593
I,I,not_sure,7,7.275641025641026,31.141885147993715,21.260336071641465,7.552705802726777,7.646767280297903
I,R,D,1,0.6164874551971327,1.4909319881379615,1.4699462574435187,1.493655801387701,1.492824655529175
I,R,I,15,2.4274193548387095,12.59818700395033,12.712550543811039,13.423054858907738,13.420446230202113
I,R,R,70,82.91756272401433,71.24115572076387,69.89493371650737,69.84847144020755,69.83632336163888
