model,delta,tau,g01_min,g01_max,g12_min,g12_max,sum_min,sum_max
hmm3,0,2.0,0.046700299007576745,0.05479777588761213,0.01931640311305312,0.027005351286085534,0.0672147488760853,0.08180312717369767
hmm3,0,10.0,0.039700299007576746,0.060797775887612135,0.016983935529572045,0.033869760565028946,0.05670875816465138,0.0922713433846665
hmm3,0.01,2.0,0.045700299007576745,0.05479777588761213,0.01921786522673167,0.0272712933895767,0.0672147488760853,0.0819124149591531
hmm3,0.01,10.0,0.038700299007576745,0.060797775887612135,0.016739900419451,0.03463322181509009,0.056558260940851784,0.0922713433846665
hmm3,0.025,2.0,0.031089513736590434,0.05479777588761213,0.016891238256522847,0.027539087557222123,0.04783032661728597,0.0819124149591531
hmm3,0.025,10.0,0.02708951373659043,0.060797775887612135,0.01337105498139331,0.03499909458530158,0.04073105574512445,0.0922713433846665
hmm3,0.05,2.0,0.031089513736590434,0.05479777588761213,0.010577177397231966,0.028011606703792102,0.04021999898445271,0.0819124149591531
hmm3,0.05,10.0,0.02708951373659043,0.060797775887612135,0.007083673446228634,0.03515860096749157,0.03273383711946244,0.09239977910596767
hmm3,0.075,2.0,0.01938865165350796,0.05479777588761213,0.008027781700875885,0.0281691130859821,0.02495854484442169,0.0819124149591531
hmm3,0.075,10.0,0.0,0.060797775887612135,0.0,0.03515974890333731,0.0,0.09239977910596767
hmm3,0.1,2.0,0.0,0.05479777588761213,0.0,0.0281691130859821,0.0,0.08191256289499883
hmm3,0.1,10.0,0.0,0.060797775887612135,0.0,0.03531925528552731,0.0,0.09239977910596767
hmm3,0.15,2.0,0.0,0.05479777588761213,0.0,0.04323201481164955,0.0,0.08191256289499883
hmm3,0.15,10.0,0.0,0.060797775887612135,0.0,0.048645929635364384,0.0,0.09239977910596767
hmm3,0.2,2.0,0.0,0.05479777588761213,0.0,0.04323201481164955,0.0,0.08191256289499883
hmm3,0.2,10.0,0.0,0.060797775887612135,0.0,0.048645929635364384,0.0,0.09239977910596767
hmm4,0,2.0,0.05599265209504647,0.061698604458420986,0.024834889767206145,0.030490725116843184,0.0824303532523728,0.09324762896564376
hmm4,0,10.0,0.05074265209504646,0.06769860445842099,0.022090018555608004,0.03714162314358929,0.0758618052020883,0.10654422013087787
hmm4,0.01,2.0,0.04685133741527961,0.06269860445842099,0.024033479190370854,0.037349627372211855,0.07078067819089548,0.09498507143443247
hmm4,0.01,10.0,0.04102746253029441,0.06869860445842099,0.021991311796070407,0.04256200607960522,0.06383860022063058,0.10655643669594114
hmm4,0.025,2.0,0.04280950520985797,0.06269860445842099,0.022479370518171973,0.04170824841450605,0.06922699205983604,0.09526400768461044
hmm4,0.025,10.0,0.04102746253029441,0.06869860445842099,0.02141404915602721,0.04266657383211654,0.06136539158475229,0.10655643669594114
hmm4,0.05,2.0,0.039751960837379745,0.06269860445842099,0.022375654644556434,0.04279951729075071,0.06922699205983604,0.09625393161008908
hmm4,0.05,10.0,0.03525196083737975,0.06869860445842099,0.020126312625478253,0.04666109607088885,0.06062311978987067,0.10655643669594114
hmm4,0.075,2.0,0.039751960837379745,0.06269860445842099,0.022375654644556434,0.0434192511603907,0.06922699205983604,0.09674551862513142
hmm4,0.075,10.0,0.03525196083737975,0.06869860445842099,0.019858967225403444,0.047299389450292,0.060151739721525044,0.10655643669594114
hmm4,0.1,2.0,0.03499124779179224,0.06269860445842099,0.022365990803080937,0.048182761450264906,0.06437975315525925,0.0968025555810467
hmm4,0.1,10.0,0.02989951372876331,0.06869860445842099,0.01960128566680414,0.05315639235192763,0.060128748197098555,0.10655643669594114
hmm4,0.15,2.0,0.034868471950924636,0.06269860445842099,0.019344995251132407,0.048286783932947705,0.05842132040271013,0.09681206174036591
hmm4,0.15,10.0,0.0,0.06869860445842099,0.0,0.053761364095829954,0.0,0.10655643669594114
hmm4,0.2,2.0,0.033868471950924635,0.06269860445842099,0.018756335429101798,0.04829046233523436,0.056573446884694505,0.09781101544392595
hmm4,0.2,10.0,0.0,0.06869860445842099,0.0,0.05391312104931064,0.0,0.10655643669594114
